data;tem_min;Intensidade
2017-06-21;4.7;Fraca
2017-06-20;1.7;Moderada
2017-06-13;7.9;Fraca
2017-06-12;4.5;Fraca
2017-06-07;4.2;Fraca
2017-07-02;2.6;Moderada
2017-08-21;4.1;Fraca
